Restaurant,Item,Category,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Arby's,Arby's Melt,Sandwiches,330,100,11,4,0,30,920,40,2,5,18,2,0,8,20
Arby's,Arby-Q Sandwich,Sandwiches,400,90,10,3,0,30,1230,58,3,23,18,4,10,10,20
Arby's,Beef 'n Cheddar Classic,Sandwiches,450,180,20,6,1,50,1280,45,2,9,23,2,2,15,25
Arby's,Beef 'n Cheddar Mid,Sandwiches,630,290,32,11,1.5,100,2100,48,2,9,39,2,2,15,35
Arby's,Bourbon BBQ Brisket Sandwich,Sandwiches,650,300,33,12,1,105,1460,51,2,15,38,NA,NA,NA,NA
Arby's,Bourbon BBQ Chicken Sandwich,Sandwiches,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,NA
Arby's,Bourbon BBQ Steak Sandwich,Sandwiches,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,NA
Arby's,Buttermilk Buffalo Chicken Sandwich,Sandwiches,540,220,24,4.5,0,60,2110,53,2,6,29,NA,NA,NA,NA
Arby's,Buttermilk Chicken Bacon & Swiss,Sandwiches,650,280,31,9,0,90,1750,56,2,9,39,NA,NA,NA,NA
Arby's,Buttermilk Chicken Cordon Bleu Sandwich,Sandwiches,690,310,35,10,0,110,2000,53,1,7,41,NA,NA,NA,NA
Arby's,Buttermilk Crispy Chicken Sandwich,Sandwiches,550,230,26,4.5,0,60,1480,52,2,6,29,NA,NA,NA,NA
Arby's,Classic French Dip & Swiss/Au Jus,Sandwiches,540,210,23,11,1,85,2500,50,2,3,35,2,8,15,25
Arby's,Classic Roast Beef,Sandwiches,360,120,14,5,0.5,50,970,37,2,5,23,0,0,6,25
Arby's,Double Roast Beef,Sandwiches,510,210,24,9,1.5,95,1610,38,2,5,38,0,0,6,35
Arby's,Fire-Roasted Philly Steak,Sandwiches,640,290,32,11,0.5,105,1950,46,3,4,42,NA,NA,NA,NA
Arby's,Grand Turkey Club,Sandwiches,480,220,24,7,0,65,1610,37,2,9,30,15,10,15,15
Arby's,Greek Gyro,Sandwiches,710,390,44,13,0,75,1360,55,4,6,23,NA,NA,NA,NA
Arby's,Half Pound Beef 'n Cheddar Sandwich,Sandwiches,740,350,39,14,2,130,2530,48,2,9,49,NA,NA,NA,NA
Arby's,Half Pound French Dip & Swiss,Sandwiches,750,330,36,17,2,150,3350,51,2,3,55,NA,NA,NA,NA
Arby's,Half Pound Roast Beef Sandwich,Sandwiches,610,270,30,12,2,130,2040,38,2,5,48,NA,NA,NA,NA
Arby's,Ham & Swiss Melt,Sandwiches,300,80,9,4,0,35,1030,37,2,6,18,2,0,15,15
Arby's,Loaded Italian Sandwich,Sandwiches,680,360,40,14,0.5,100,2270,49,3,7,32,NA,NA,NA,NA
Arby's,Pecan Chicken Salad Flatbread,Sandwiches,710,410,46,7,0.5,65,980,53,4,9,22,NA,NA,NA,NA
Arby's,Pecan Chicken Salad Sandwich,Sandwiches,840,400,44,6,0.5,75,1210,81,6,20,33,10,8,25,25
Arby's,2 piece Prime-Cut Chicken Tenders,Sandwiches,240,100,11,1.5,0,30,640,19,1,0,16,0,0,2,6
Arby's,3 piece Prime-Cut Chicken Tenders,Sandwiches,360,150,17,2.5,0,45,950,28,2,0,23,0,4,2,4
Arby's,5 piece Prime-Cut Chicken Tenders,Sandwiches,600,250,28,4,0,75,1590,47,3,0,39,0,8,2,8
Arby's,Reuben Sandwich,Sandwiches,680,280,31,8,0.5,80,2420,62,4,5,37,6,20,35,30
Arby's,Roast Beef Gyro,Sandwiches,550,260,29,7,1,60,1290,48,3,5,24,10,15,10,30
